ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
1861,Garífuna (Honduras),garifuna (Honduras),garífuna (Honduras),Honduras,HND,cab,Vulnerable
1893,Garífuna (Nicaragua),garifuna (Nicaragua),garífuna (Nicaragua),Nicaragua,NIC,cab,Critically endangered
182,Garrwa,garawa,garava,Australia,AUS,gbc,Severely endangered
2670,Garuwahi,garuwahi,garuvahi,Papua New Guinea,PNG,grw,Definitely endangered
352,Gascon,gascon,gascón,"Spain, France","ESP, FRA",oci,Definitely endangered
80,Gats'ama - Ganjule - Harro,harro,gatsama - ganjule - harro,Ethiopia,ETH,kcx,Definitely endangered
598,Gavião de Rondônia,gavião du Rondônia,gavião de Rondônia,Brazil,BRA,gvo,Vulnerable
1667,Gavião do Pará,gavião du Pará,gavião do Para,Brazil,BRA,gvp,Vulnerable
1850,Gawar-Bati,gawar-bati,gavar-batí,"Pakistan, Afghanistan","PAK, AFG",gwt,Definitely endangered
523,Gazhuo,gazhuo,kaduo,China,CHN,kaf,Definitely endangered
2061,Gazi,gazi,gazi,Iran (Islamic Republic of),IRN,gzi,Definitely endangered
1687,Ge'ez,Ge'ez,gueez,Ethiopia,ETH,gez,Extinct
2333,Gebe,gebe,gebe,Indonesia,IDN,gei,Vulnerable
32,Geji cluster,groupe geji,grupo geji,Nigeria,NGA,gji,Severely endangered
1660,Geme,gemé,gueme,Central African Republic,CAF,geq,Critically endangered
1384,Gera,gera,gera,Nigeria,NGA,gew,Vulnerable
1209,Geta?,geta?,geta,India,IND,gaq,Severely endangered
2671,Getmata,getmata,getmata,Papua New Guinea,PNG,get,Extinct
42,Gey,gey,gueve,Cameroon,CMR,guv,Extinct
1290,Ghadames,ghadamès,gadamés,Libyan Arab Jamahiriya,LBY,gha,Vulnerable
1112,Ghale,ghale,ghale,Nepal,NPL,"ght, ghh, ghe",Vulnerable
512,Ghomara,ghomara,ghomara,Morocco,MAR,gho,Critically endangered
266,Gitksan,gitskan,nass-gitskan,Canada,CAN,git,Severely endangered
1047,Godoberi,godoberi,godoberí,Russian Federation,RUS,gdo,Definitely endangered
1586,Gondi,gondi,gondí,India,IND,gon,Vulnerable
1005,Gong,gong,ugong,Thailand,THA,ugo,Severely endangered
1254,Gongduk,gongduk,gongduk,Bhutan,BTN,goe,Vulnerable
185,Gooniyandi,gooniyandi,guniyandi,Australia,AUS,gni,Severely endangered
2590,Gorap,gorap,gorap,Indonesia,IDN,goq,Definitely endangered
2103,Gorovu,gorovu,gorovu,Papua New Guinea,PNG,grg,Severely endangered
1206,Gorum,gorum,gorumo,India,IND,pcj,Definitely endangered
358,Gothic,,,Ukraine,UKR,,Extinct
1346,Gottscheerish,gottscheerish,gottscheerish,Slovenia,SVN,,Critically endangered
1635,Goundo,goundo,gundo,Chad,TCD,goy,Critically endangered
1841,Gowro,gowro,gowro,Pakistan,PAK,gwf,Severely endangered
2679,Grass Koiari,grass koiari,coyarí,Papua New Guinea,PNG,kbk,Vulnerable
2722,Great andamanese,grand andamanais,andamanés,India,IND,akj,Critically endangered
2418,Green Gelao (China),gelao vert (Chine),gelao (China),China,CHN,giq,Critically endangered
524,Green Gelao (Viet Nam),gelao vert (Viet Nam),gelao (Vietnam),Viet Nam,VNM,giq,Critically endangered
1339,Griko (Calabria),griko (Calabre),griko calabrés,Italy,ITA,ell,Severely endangered
1614,Griko (Salento),griko (Salento),griko salentino,Italy,ITA,ell,Severely endangered
764,Gros Ventre,atsina (gros ventre),atsina,United States of America,USA,ats,Critically endangered
1755,Guajá,guajá,guajá,Brazil,BRA,gvj,Vulnerable
1666,Guajajara,guajajára,guajajara,Brazil,BRA,gub,Vulnerable
295,Guajiro,guajiro,guajiro,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",guc,Vulnerable
599,Guambiano,guambiano,guambiano,Colombia,COL,gum,Definitely endangered
2052,Guaná,guaná,guaná,Paraguay,PRY,gva,Critically endangered
4,Guanche,guanche,guanche,Spain,ESP,,Extinct
1927,Guaraní Boliviano,guarani de Bolivie,guaraní boliviano,"Argentina, Bolivia (Plurinational State of)","ARG, BOL","gnw, gui",Vulnerable
1615,Guarasu,guarasu,guarasú,Brazil,BRA,,Critically endangered
1922,Guarayu,guarayu,guarayo,Bolivia (Plurinational State of),BOL,gyr,Definitely endangered
600,Guató,guató,guató,Brazil,BRA,gta,Critically endangered
1884,Guatuso,guatuso,guatuso,Costa Rica,CRI,gut,Severely endangered
1913,Guayabero,guayabero,guayabero,Colombia,COL,guo,Definitely endangered
1341,Guernsey French,guernesiais,francés de Guernesey,United Kingdom of Great Britain and Northern Ireland,GBR,fra,Severely endangered
2433,Guichong,guiqiong,guichión,China,CHN,gqi,Vulnerable
68,Gule,gule,gule,Sudan,SDN,gly,Extinct
2632,Guliguli,,,Solomon Islands,SLB,gli,Extinct
2076,Gumbaynggirr,gumbaynggirr,kumbaingari,Australia,AUS,kgs,Critically endangered
601,Gününa Küne,gününa yajich,puelche,Argentina,ARG,pue,Extinct
187,Gupapuyngu,gupapuyngu,gupapuyngu,Australia,AUS,guf,Vulnerable
1382,Gura,gura,gura,Nigeria,NGA,gvm,Severely endangered
2106,Guranalum,guranalum,guramalumo,Papua New Guinea,PNG,,Critically endangered
24,Gurdu-Mbaaru,gurdu-mbaaru,guruntum,Nigeria,NGA,grd,Severely endangered
188,Gurrgoni,gurrgoni,guragone,Australia,AUS,gge,Vulnerable
1113,Gurung,gurung,gurung,Nepal,NPL,"ggn, gvr",Definitely endangered
1300,Gusilay,gusilay,gusilay,Senegal,SEN,gsl,Vulnerable
1597,Gutnish,gutnisk,gotlandiano,Sweden,SWE,swe,Definitely endangered
1208,Gutob,goutob,gutob,India,IND,gbj,Vulnerable
184,Guugu Yimidhirr,guugu yimidhirr,guguyimidjir,Australia,AUS,kky,Vulnerable
115,Gweno,gweno,gweno,United Republic of Tanzania,TZA,gwe,Critically endangered
263,Gwich'in (Canada),gwichin (Canada),güichín (Canadá),Canada,CAN,gwi,Severely endangered
1458,Gwich'in (United States of America),gwich’in (États-Unis d'Amérique),güichín (Estados Unidos),United States of America,USA,gwi,Severely endangered
1121,Gyasumdo,gyasumdo,gyasumdo,Nepal,NPL,,Definitely endangered
1742,Gyele,gyele,guiele,"Cameroon, Equatorial Guinea","CMR, GNQ",gyi,Definitely endangered
1383,Gyem,gyem,gyem,Nigeria,NGA,gye,Critically endangered
1145,Ha-lung Tibetan,walung,halung tibetano,Nepal,NPL,ola,Definitely endangered
2584,Habu,habu,habu,Timor-Leste,TLS,hbu,Vulnerable
1980,Hachijō,hachijō,hachijō,Japan,JPN,,Definitely endangered
114,Hadza,hadza,hadza,United Republic of Tanzania,TZA,hts,Vulnerable
260,Haisla,haisla,haisla,Canada,CAN,has,Critically endangered
258,Halkomelem,halkomelem,halkomelén,"Canada, United States of America","CAN, USA",hur,Severely endangered
2395,Han (Canada),han (Canada),han (Canadá),Canada,CAN,haa,Critically endangered
1459,Han (United States of America),han (États-Unis d'Amérique),han (Estados Unidos),United States of America,USA,haa,Critically endangered
1555,Handuri,handuri,handuri,India,IND,hii,Critically endangered
807,Hanis,hanis,hanis,United States of America,USA,csz,Extinct
1709,Harakmbut,harakmbet,harakambeto,Peru,PER,"amr, hug",Definitely endangered
1950,Harsusi,harsusi,harsusi,Oman,OMN,hss,Definitely endangered
1032,Havasupai,havasupai,havasupái,United States of America,USA,yuf,Definitely endangered
712,Hawaiian,hawaïen,hawaiano,United States of America,USA,haw,Critically endangered
1802,Hawrami,hawrami,hawrami,"Iran (Islamic Republic of), Iraq","IRN, IRQ","bjm, hac, sdb, sdf",Definitely endangered
439,Hayu,hayu,hayu,Nepal,NPL,vay,Critically endangered
700,Heiban,heiban,heibán,Sudan,SDN,hbn,Vulnerable
257,Heiltsuk,heiltsuk,heilchuco,Canada,CAN,hei,Critically endangered
2581,Helong,helong,helong,Indonesia,IDN,heg,Severely endangered
2108,Hermit,hermit,hermit,Papua New Guinea,PNG,llf,Critically endangered
1984,Hértevin,hértevin,hertevino,Turkey,TUR,hrt,Critically endangered
882,Hidatsa,hidatsa,hidatsa,United States of America,USA,hid,Definitely endangered
1273,Higher Reservoir Mazatec,mazatèque de la Presa (haut),mazateco de la presa alto,Mexico,MEX,,Vulnerable
818,Highland Chontal,chontal des hautes terres,chontal de la sierra,Mexico,MEX,chd,Severely endangered
1277,Highland Mazatec,mazatèque des hautes terres,mazateco de la sierra,Mexico,MEX,mau,Vulnerable
1415,Hijuk,hijuk,hijuk,Cameroon,CMR,hij,Critically endangered
1090,Hill Miri,miri,hill miri,India,IND,mrg,Definitely endangered
1048,Hinukh,hinukh,hinuj,Russian Federation,RUS,gin,Definitely endangered
2504,Hiw,hiw,hiw,Vanuatu,VUT,hiw,Definitely endangered
1668,Hixkaryána,hixkaryána,hixkaryana,Brazil,BRA,hix,Vulnerable
2445,Hlersu,hlersu,sansu,China,CHN,hle,Vulnerable
1232,Hmar,hmar,hmar,India,IND,hmr,Vulnerable
1212,Ho,ho,ho,India,IND,hoc,Vulnerable
2045,Hoanya,hoanya,hoanya,China,CHN,ppu,Extinct
2633,Hoava,hoava,hoava,Solomon Islands,SLB,hoa,Vulnerable
1821,Hobyot,hobyot,hobioto,"Oman, Yemen","OMN, YEM",hoh,Severely endangered
297,Hodi,hodi,yuwana,Venezuela (Bolivarian Republic of),VEN,yau,Vulnerable
152,Holikachuk,holikachuk,holikachuk,United States of America,USA,hoi,Critically endangered
59,Homa,homa,homa,Sudan,SDN,hom,Extinct
1493,Homshetsma (Caucasus),homshetsma (Caucase),homshetsma (Cáucaso),"Georgia, Russian Federation","GEO, RUS",hye,Severely endangered
1492,Homshetsma (Turkey),homshetsma (Turquie),homshetsma (Turquía),Turkey,TUR,hye,Definitely endangered
870,Hopi,hopi,hopí,United States of America,USA,hop,Vulnerable
1651,Horo,horo,horo,Chad,TCD,hor,Extinct
2591,Hoti,hoti,hoti,Indonesia,IDN,hti,Critically endangered
77,Hozo,hozo,hozo-seco,Ethiopia,ETH,hoz,Definitely endangered
2219,Hpun,hpun,hpon,Myanmar,MMR,hpo,Extinct
1189,Hrangkhol,hrangkhol,rancol,India,IND,hra,Vulnerable
2207,Hu,hu,hu,China,CHN,huo,Definitely endangered
1031,Hualapai,walapai,walapái,United States of America,USA,yuf,Vulnerable
1506,Huasteca Náhuatl,náhuatl du Huasteca,nahua de la Huasteca,Mexico,MEX,nhe,Vulnerable
921,Huehuetla Tepehua,Tepehua de Huehuetla,tepehuano de Huehuetla,Mexico,MEX,tee,Definitely endangered
1272,Huehuetlán Mazatec,mazatèque de Huehuetlán,mazateco de Huehuetlán,Mexico,MEX,vmz,Vulnerable
1491,Huichol,huichol,huichol,Mexico,MEX,hch,Vulnerable
604,Huilliche,huilliche,huilliche,Chile,CHL,huh,Critically endangered
1817,Huitoto (Brazil),huitoto (Brésil),huitoto (Brasil),Brazil,BRA,"hto, huu, hux",Extinct
605,"Huitoto (Colombia, Peru)","huitoto (Colombie, Pérou)","huitoto (Colombia, Perú)","Colombia, Peru","COL, PER","hto, huu, hux",Definitely endangered
2592,Hukumina,hukumina,hukumina,Indonesia,IDN,huw,Extinct
2203,Hulaula (Iran),hulaula (République islamique d'Iran),hulaulá (Iran),Iran (Islamic Republic of),IRN,huy,Extinct
2173,Hulaula (Israel),hulaula (Israël),hulaulá (Israel),Israel,ISR,huy,Severely endangered
2593,Hulung,hulung,hulung,Indonesia,IDN,huk,Critically endangered
526,Hung,hung,hung,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",hnu,Definitely endangered
1043,Hunzib,hunzib,hunzib,Russian Federation,RUS,huz,Definitely endangered
780,Hupa,hupa,hupa,United States of America,USA,hup,Critically endangered
1771,Hupda (Brazil),hupda (Brésil),hupdé macú (Brasil),Brazil,BRA,jup,Vulnerable
2000,Hupda (Colombia),hupda (Colombie),hupdé macú (Colombia),Colombia,COL,jup,Definitely endangered
2397,Huron-Wyandot (Canada),huron-wyandot (Canada),huron (Canadá),Canada,CAN,wya,Critically endangered
1537,Huron-Wyandot (United States of America),wyandotte (États-Unis d'Amérique),huron (Estados Unidos),United States of America,USA,wya,Extinct
1422,Huzhu Monguor,monguor de Huzhu,monguor de Huzhu,China,CHN,mjg,Severely endangered
1395,Hya,hya,hya,"Cameroon, Nigeria","CMR, NGA",hya,Severely endangered
2594,Ibu,ibu,ibu,Indonesia,IDN,ibu,Critically endangered
1084,Idu,idu,chulikata,"China, India","CHN, IND",clk,Definitely endangered
1753,Iduh (Lao PDR),iduh (République démocratique populaire lao),odu (Laos),Lao People's Democratic Republic,LAO,,Critically endangered
527,Iduh (Viet Nam),iduh (Viet Nam),odu (Vitenam),Viet Nam,VNM,,Critically endangered
2642,Ifo,ifo,ifo,Vanuatu,VUT,iff,Extinct
107,Ik,ik,ik,Uganda,UGA,ikx,Severely endangered
1239,Ikpeng,ikpeng,Ikpeng,Brazil,BRA,txi,Vulnerable
1433,Ili Turk,ili turki,ili turki,China,CHN,ili,Severely endangered
30,Ilue,ilue,ilue,Nigeria,NGA,ilv,Critically endangered
1294,Imeraguen,imeraguen,imeraguén,Mauritania,MRT,ime,Definitely endangered
753,Iñapari,iñapari,iñapari,Peru,PER,"inp, cuj",Critically endangered
359,Inari Saami,saami inari,saamí de Inari,Finland,FIN,smn,Severely endangered
1703,Indri,indri,Indri,Sudan,SDN,idr,Severely endangered
854,Ineseño,ineseño,ineseño,United States of America,USA,inz,Extinct
1853,Inga,inga,inga,Colombia,COL,"inb, inj",Severely endangered
153,Ingalik,ingalik,ingalik,United States of America,USA,ing,Critically endangered
360,Ingrian,ingrien,ingriano,Russian Federation,RUS,izh,Severely endangered
1068,Ingush,ingouche,inguso,Russian Federation,RUS,inh,Vulnerable
1049,Inkhokvari,inkhokvari,injokari,Russian Federation,RUS,khv,Definitely endangered
254,Inuinnaqtun,inuinnaqtun,inuinnaqtun,Canada,CAN,ikt,Definitely endangered
844,Ipai,diegueño du nord,ipái,United States of America,USA,dih,Critically endangered
727,Iquito,iquito,iquito,Peru,PER,iqu,Critically endangered
1867,Iranxe,irantxe-mynky,irantxe,Brazil,BRA,irn,Critically endangered
2535,Iresim,iresim,iresim,Indonesia,IDN,ire,Severely endangered
362,Irish,irlandais,irlandés,"Ireland, United Kingdom of Great Britain and Northern Ireland","IRL, GBR",gle,Definitely endangered
1570,Irula,irula,irula,India,IND,iru,Vulnerable
2200,Isarog Agta,agta d'Isarog,agta de Isarog,Philippines,PHL,agk,Critically endangered
1437,Ishkashimi,ishkâshimi,iskashmi,Tajikistan,TJK,sgl,Severely endangered
2536,Isirawa,isirawa,isirawa,Indonesia,IDN,srl,Vulnerable
298,Island Carib,caraïbe,caribe isleño,Dominica,DMA,crb,Extinct
857,Island Chumash,chumash,chumasho,United States of America,USA,crz,Extinct
1505,Isthmus Náhuatl,náhuatl de l'Isthme,nahua del istmo,Mexico,MEX,nhk,Vulnerable
363,Istriot,istriot,istriano,Croatia,HRV,ist,Severely endangered
364,Istro-Romanian,istro-roumain,istro-rumano,Croatia,HRV,ruo,Severely endangered
34,Isu,isu,isu,Cameroon,CMR,szv,Severely endangered
476,Itelmen,itelmen,itelmeno,Russian Federation,RUS,itl,Critically endangered
1939,Iteri,iteri,iteri,Papua New Guinea,PNG,itr,Severely endangered
2537,Itik,itik,itik,Indonesia,IDN,itx,Vulnerable
606,Itonama,itonama,itonama,Bolivia (Plurinational State of),BOL,ito,Critically endangered
1788,Itzá,itzá,itzá,Guatemala,GTM,itz,Critically endangered
191,Iwaidja,iwaidja,iwaidya,Australia,AUS,ibd,Vulnerable
1265,Ixcatec,ixcatèque,ixcateco,Mexico,MEX,ixc,Critically endangered
1274,Ixcatlán Mazatec,mazatèque d'Ixcatlán,mazateco de Ixcatlán,Mexico,MEX,mzi,Vulnerable
1791,Ixil (Guatemala),ixil (Guatemala),ijilo (Guatemala),Guatemala,GTM,,Vulnerable
1371,Ixil (Mexico),ixil (Mexique),ijilo (México),Mexico,MEX,,Critically endangered
935,Ixtenco Otomí,otomí d'Ixtenco,otomí de Ixtenco,Mexico,MEX,otz,Severely endangered
1410,Iyive,iyive,iyive,Cameroon,CMR,uiv,Severely endangered
2717,Jad,jad,jad,"India, Pakistan","IND, PAK",jda,Definitely endangered
2291,Jah Hut,jah hut,jah het,Malaysia,MYS,jah,Severely endangered
2469,Jahai,jahai,yehai,Malaysia,MYS,jhi,Critically endangered
1800,Jakaltek (Guatemala),jacaltèque (Guatemala),jacalteko (Guatemala),Guatemala,GTM,jai,Definitely endangered
2719,Jakaltek (Mexico),jacaltèque (Mexique),jacalteko (México),Mexico,MEX,jai,Severely endangered
1772,Jamamadí,jamanadí,yamamadí,Brazil,BRA,jaa,Vulnerable
174,Jaminjung,djamindjung,djamindjung,Australia,AUS,djd,Severely endangered
1183,Jangshung,jangshung,yansún,India,IND,"jna, scu, ssk",Definitely endangered
607,Jaqaru,jaqaru,jaqarú,Peru,PER,jqr,Severely endangered
1364,Jarawa,jarawa,jarawa,India,IND,ang,Critically endangered
1774,Jarawára,jarawára,yarawara,Brazil,BRA,jap,Vulnerable
1564,Jaunsari,jaunsari,jaunsari,India,IND,jns,Definitely endangered
1941,Javaé,javaé,javaé,Brazil,BRA,kpj,Definitely endangered
2588,Javindo Creole,créole javindo,criollo javindo,Indonesia,IDN,jvd,Critically endangered
2491,Jawe,jawe,jawe,New Caledonia (France),NCL,jaz,Vulnerable
192,Jawoyn,djauan,jawan,Australia,AUS,djn,Severely endangered
1640,Jaya,jaya,yaya,Chad,TCD,jyy,Severely endangered
608,Jebero,jebero,jebero,Peru,PER,jeb,Critically endangered
2724,Jeju,,,Republic of Korea,KOR,,Critically endangered
874,Jemez,jemez,towa,United States of America,USA,tow,Vulnerable
15,Jeri,jeri kuo,jeri,Côte d'Ivoire,CIV,jek,Severely endangered
1033,Jero,jero,yerún,Nepal,NPL,jee,Vulnerable
1340,Jersey French,jersiais,francés de Jersey,United Kingdom of Great Britain and Northern Ireland,GBR,fra,Severely endangered
1962,Jibbali,jibbali,yibalí,Oman,OMN,shv,Severely endangered
787,Jicarilla Apache,apache jicarilla,apache jicarilla,United States of America,USA,apj,Severely endangered
1385,Jilbe,jilbe,yilbe,Nigeria,NGA,jie,Critically endangered
176,Jingulu,jingulu,chunguloo,Australia,AUS,jig,Severely endangered
2446,Jinuo,jinuo,yinuo,China,CHN,"jiy, jiu",Definitely endangered
1496,Jiongnai Bunu,bunu jiongnai,bunú jiongnai,China,CHN,pnu,Definitely endangered
1125,Jirel,jirel,jirel,Nepal,NPL,jul,Definitely endangered
2019,Jitnu,jitnu (macaguán),macaguán,Colombia,COL,mbn,Definitely endangered
1304,Jola-Kassa,jola-kassa,kasa,Senegal,SEN,csk,Vulnerable
1501,Jone,choni,choni,China,CHN,cda,Definitely endangered
1645,Jonkor Bourmataguil,djonkor de Bourmataguil,jonjor,Chad,TCD,jeu,Severely endangered
1925,Jorá,jorá,jorá,Bolivia (Plurinational State of),BOL,jor,Critically endangered
1203,Juang,juang,yuango,India,IND,jun,Definitely endangered
2451,Judeo-Berber (Israel),judéo-berbère (Israël),judeo-bereber (Israel),Israel,ISR,jbe,Severely endangered
696,Judeo-Berber (Morocco),judéo-berbère (Maroc),judeo-bereber (Marruecos),Morocco,MAR,jbe,Extinct
374,Judezmo (Europe),judéo-espagnol  (Europe),sefardí (Europa),"Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Croatia, Greece, The former Yugoslav Republic of Macedonia, Morocco, Romania, Turkey, Serbia","ALB, DZA, BIH, BGR, HRV, GRC, MKD, MAR, ROU, TUR, SRB",lad,Severely endangered
2165,Judezmo (Israel),judéo-espagnol (Israël),sefardí (Israel),Israel,ISR,lad,Severely endangered
1052,Juhur (Caucasus),juhuri (Caucase),judeo-tatí (Cáucaso),"Azerbaijan, Russian Federation","AZE, RUS",jdt,Definitely endangered
2216,Juhur (Israel),juhuri (Israël),judeo-tatí (Israel),Israel,ISR,jdt,Definitely endangered
2254,Juk,juk,juk,Lao People's Democratic Republic,LAO,,Definitely endangered
609,Juma,juma,yuma,Brazil,BRA,jua,Critically endangered
90,K'emant,k'emant,kemant,Ethiopia,ETH,ahg,Severely endangered
1803,K'iche' (Guatemala),k’iche' (Guatemala),quiché (Guatemala),Guatemala,GTM,quc,Vulnerable
1366,K'iche' (Mexico),k'iche' (Mexique),quiché (México),Mexico,MEX,quc,Definitely endangered
1706,Ka'apór,ka'apór,urubú-kaapor,Brazil,BRA,urb,Vulnerable
49,Kaande,kaande,kande,Gabon,GAB,kbs,Severely endangered
1065,Kabard-Cherkes,kabarde-tcherkesse,kabardái,"Russian Federation, Turkey","RUS, TUR",kbd,Vulnerable
1162,Kabui,kabui,kabui,India,IND,nkf,Vulnerable
1186,Kachari,kachari,kachari,India,IND,xac,Definitely endangered
2226,Kaco',kraco',kaco',Cambodia,KHM,xkk,Definitely endangered
2334,Kadai,kadai,kadai,Indonesia,IDN,kzd,Definitely endangered
52,Kadaru,kadaru,kadaru,Sudan,SDN,kdu,Definitely endangered
1630,Kadiwéu,kadiwéu,kadiwéu,Brazil,BRA,kbc,Definitely endangered
528,Kadu,kadu,gadu,Myanmar,MMR,kdv,Severely endangered
1126,Kāgate,kāgate,kagate,Nepal,NPL,syw,Definitely endangered
2335,Kaibobo,kaibobo,kaibobo,Indonesia,IDN,kzb,Definitely endangered
2672,Kaiep,kaiep,kaiep,Papua New Guinea,PNG,kbw,Vulnerable
1124,Kaike,kaike,kaike,Nepal,NPL,kzq,Definitely endangered
617,Kaingang,kaingang,kaingán,Brazil,BRA,kgp,Definitely endangered
1878,Kaiowá Guarani,guarani-kaiowá,guaraní kaiowá,Brazil,BRA,"kgk, pta",Vulnerable
2585,Kairui-Midiki,kairui-midiki,kairui-midiki,Timor-Leste,TLS,krd,Vulnerable
1776,Kaixána,kaixana,kaixana,Brazil,BRA,,Critically endangered
2582,Kaiy,kaiy,kaiy,Indonesia,IDN,tcq,Vulnerable
2673,Kaki Ae,kaki ae,tate,Papua New Guinea,PNG,tbd,Vulnerable
2109,Kalamo,kalamo,kalamo,Papua New Guinea,PNG,kkc,Severely endangered
2305,Kalao,kalao,kalao,Indonesia,IDN,kly,Definitely endangered
1451,Kalapalo,kalapalo,kalapalo,Brazil,BRA,kui,Vulnerable
1602,Kalasha,kalasha,calasa,Pakistan,PAK,kls,Severely endangered
193,Kalaw Lagaw Ya,kalaw lagaw ya,mabuyago,Australia,AUS,mwp,Definitely endangered
960,Kalispel,kalispel,kalispel,United States of America,USA,fla,Critically endangered
2725,Kalkoti,Kalkoti,Kalkoti,Pakistan,PAK,,Severely endangered
368,Kalmyk,kalmouk,kalmiko,Russian Federation,RUS,xal,Definitely endangered
1510,Kamaiurá,kamaiurá,kamayurá,Brazil,BRA,kay,Vulnerable
1322,Kamara,kamara,kamara,Ghana,GHA,jmr,Definitely endangered
2595,Kamarian,kamarian,kamarian,Indonesia,IDN,kzx,Critically endangered
477,Kamas,kamasse,kamas,Russian Federation,RUS,"xas, zkb",Extinct
1353,Kamas Turk,turc kamasse,kamasiano,Russian Federation,RUS,kjh,Extinct
1940,Kamasa,kamasa,kamasa,Papua New Guinea,PNG,klp,Critically endangered
117,Kami,kami,kami,United Republic of Tanzania,TZA,kcu,Severely endangered
2040,Kanakanabu,kanakanabu,kanakanabu,China,CHN,xnb,Critically endangered
1184,Kanashi,kanashi,kanashi,India,IND,xns,Definitely endangered
2674,Kandas,kandas,kandas,Papua New Guinea,PNG,kqw,Vulnerable
1756,Kanela Apaniekra,canela apaniekra,canela apaniekra,Brazil,BRA,ram,Vulnerable
1757,Kanela Rankokamekra,canela rankokamekra,canela ramkokomekra,Brazil,BRA,ram,Vulnerable
67,Kanga,kanga,canga,Sudan,SDN,kcp,Severely endangered
1556,Kangdi,Kangdi,kangdi,India,IND,xnr,Definitely endangered
1421,Kangjia,kangjia,kangjia,China,CHN,kxs,Severely endangered
2675,Kaniet,kaniet,kaniet,Papua New Guinea,PNG,ktk,Extinct
2676,Kaningara,kaningara,kaningra,Papua New Guinea,PNG,knr,Vulnerable
611,Kanoê,kanoê,kanoé,Brazil,BRA,kxo,Critically endangered
2265,Kanowit,kanowit,kanowit,Malaysia,MYS,kxn,Severely endangered
1548,Kansa,kansa,kansa,United States of America,USA,ksk,Extinct
2336,Kao,kao,kao,Indonesia,IDN,kax,Definitely endangered
2338,Kapingamarangi,kapingamarangi,kapingamarangi,Micronesia (Federated States of),FSM,kpg,Severely endangered
2538,Kapori,kapauri,kapori,Indonesia,IDN,khp,Critically endangered
1801,Kaqchikel (Guatemala),kaqchikel (Guatemala),cachiquel (Guatemala),Guatemala,GTM,,Vulnerable
1367,Kaqchikel (Mexico),kaqchikel (Mexique),cachiquel (México),Mexico,MEX,,Critically endangered
1075,Karachay-Balkar,karatchaï-balkar,karachay-balkar,Russian Federation,RUS,krc,Vulnerable
1332,Karagash,karagash,tofa,Russian Federation,RUS,,Definitely endangered
341,Karaim (Crimea),karaïm (Crimée),karaím (Crimea),Ukraine,UKR,kdr,Extinct
379,Karaim (Lithuania),karaïm (Lituanie),karaím (Lituania),Lithuania,LTU,kdr,Severely endangered
369,Karaim (Western Ukraine),karaïm (Ukraine occidentale),karaím (Ucrania occidental),Ukraine,UKR,kdr,Critically endangered
1869,Karajá,karajá,karajá,Brazil,BRA,kpj,Vulnerable
194,Karajarri,karadjeri,karacheri,Australia,AUS,gbd,Critically endangered
2677,Karami,karami,karami,Papua New Guinea,PNG,xar,Extinct
139,Karang,karanga,karango,Chad,TCD,kth,Vulnerable
2539,Karas,karas,karas,Indonesia,IDN,kgv,Severely endangered
1053,Karata,karata,karata,Russian Federation,RUS,kpt,Definitely endangered
1165,Karbi,karbi,miquirés,India,IND,mjw,Vulnerable
327,Karelian (Karelia),carélien (Carélie),carelio (Carelia),"Finland, Russian Federation","FIN, RUS",krl,Definitely endangered
1518,Karelian (Tikhvin),carélien (Tikhvin),carelio (Tijvin),Russian Federation,RUS,krl,Severely endangered
1516,Karelian (Tver),carélien (Tver),carelio (Tver),Russian Federation,RUS,krl,Definitely endangered
1517,Karelian (Valday),carélien (Valday),carelio (Valday),Russian Federation,RUS,krl,Extinct
112,Kari,kari,carí,Democratic Republic of the Congo,ZAI,kbj,Severely endangered
1710,Kari'ña (Brazil),galibi (Brésil),galibi (Brasil),Brazil,BRA,"car, ciy",Definitely endangered
597,Kari'ña (French Guyana),galibi (Guyane Française),galibi (Guayana Francesa),French Guiana (France),GUF,"car, ciy",Definitely endangered
670,"Kari'ña (Guyana, Suriname)","galibi (Guyane, Suriname)","galibi (Guyana, Surinam)","Guyana, Suriname","GUY, SUR","car, ciy",Severely endangered
683,Kari'ña (Venezuela),galibi (République bolivarienne du Venezuela),galibi (Venezuela),Venezuela (Bolivarian Republic of),VEN,"car, ciy",Severely endangered
613,Karipuna,karipuna,karipuna,Brazil,BRA,kuq,Definitely endangered
1758,Karipuna do Amapá,karipuna de l'Amapá,karipuna del Amapá,Brazil,BRA,kmv,Vulnerable
614,Karitiana,karitiána,caritiana,Brazil,BRA,ktn,Vulnerable
71,Karko,karko,karko,Sudan,SDN,kko,Definitely endangered
1617,Karo,káro,karo,Brazil,BRA,arr,Vulnerable
1683,Karo,karo,karo,Ethiopia,ETH,kxh,Critically endangered
1298,Karone,karone,karon,Senegal,SEN,krx,Vulnerable
2678,Karore,karore,karore,Papua New Guinea,PNG,xkx,Vulnerable
826,Karuk,karuk,karuk,United States of America,USA,kyh,Severely endangered
1308,Kasanga,kasanga,kasanga,Guinea-Bissau,GNB,ccj,Critically endangered
837,Kashaya,kashaya,kashaya,United States of America,USA,kju,Critically endangered
